60,2023-06-07 13:15:00+00:00
timestep=60,x_sat,y_sat,z_sat,sat_in_sun,earth_sun,sat_pos,sun_sat_pos,lat,lon,height
900.0,409499.78631266905,-4243678.749742592,-5299071.06532919,False,[-3.61151650e+10 -1.35290642e+11 -5.86466034e+10],[  409499.78631267 -4243678.74974259 -5299071.06532919],[-3.61147555e+10 -1.35294885e+11 -5.86519025e+10],-51.34629085845033,177.7799676657289,436088.51266481756
960.0,855346.4652269086,-4139443.873642543,-5328124.028954851,False,[-3.61134587e+10 -1.35291038e+11 -5.86467754e+10],[  855346.46522691 -4139443.87364254 -5328124.02895485],[-3.61126033e+10 -1.35295178e+11 -5.86521035e+10],-51.724974700859214,-176.30778182946773,436143.01133285236
1020.0,1297304.7615780677,-4016390.483527894,-5332885.004048447,False,[-3.61117524e+10 -1.35291435e+11 -5.86469474e+10],[ 1297304.76157807 -4016390.48352789 -5332885.00404845],[-3.61104551e+10 -1.35295451e+11 -5.86522803e+10],-51.77700039118931,-170.33676361328875,436054.28228515916
1080.0,1733365.207407284,-3875077.2535054847,-5313331.300784233,False,[-3.61100461e+10 -1.35291832e+11 -5.86471194e+10],[ 1733365.20740728 -3875077.25350548 -5313331.30078423],[-3.61083127e+10 -1.35295707e+11 -5.86524327e+10],-51.500999582439306,-164.3961242428867,435822.5026687328
1140.0,2161544.58716884,-3716145.034929305,-5269549.873521821,False,[-3.61083397e+10 -1.35292228e+11 -5.86472913e+10],[ 2161544.58716884 -3716145.0349293  -5269549.87352182],[-3.61061782e+10 -1.35295944e+11 -5.86525609e+10],-50.90395109623499,-158.57192136483343,435449.858059035
1200.0,2579894.671299376,-3540314.074930948,-5201736.986353673,False,[-3.61066334e+10 -1.35292625e+11 -5.86474633e+10],[ 2579894.67129938 -3540314.07493095 -5201736.98635367],[-3.61040535e+10 -1.35296165e+11 -5.86526650e+10],-50.000338221696126,-152.93885179369096,434940.5138450151
1260.0,2986510.8191353404,-3348380.904649264,-5110197.427714305,False,[-3.61049271e+10 -1.35293022e+11 -5.86476352e+10],[ 2986510.81913534 -3348380.90464926 -5110197.4277143 ],[-3.61019406e+10 -1.35296370e+11 -5.86527454e+10],-48.81052325871949,-147.55454475305945,434300.5548415743
1320.0,3379540.4217061577,-3141214.905738021,-4995343.274181376,False,[-3.61032207e+10 -1.35293418e+11 -5.86478071e+10],[ 3379540.42170616 -3141214.90573802 -4995343.27418138],[-3.60998412e+10 -1.35296559e+11 -5.86528025e+10],-47.358736103625084,-142.45723671838473,433537.8939419326
1380.0,3757191.1544343363,-2919754.5642766147,-4857692.204096969,False,[-3.61015144e+10 -1.35293815e+11 -5.86479790e+10],[ 3757191.15443434 -2919754.56427661 -4857692.20409697],[-3.60977572e+10 -1.35296735e+11 -5.86528367e+10],-45.67108413527727,-137.66652712750073,432662.1510752614
1440.0,4117739.008993964,-2685003.4219902363,-4697865.362321391,False,[-3.60998080e+10 -1.35294211e+11 -5.86481510e+10],[ 4117739.00899396 -2685003.42199024 -4697865.36232139],[-3.60956903e+10 -1.35296896e+11 -5.86528488e+10],-43.77387672070792,-133.18620829451848,431684.50418626104
1500.0,4459536.072765128,-2438025.7356431196,-4516584.778331777,False,[-3.60981017e+10 -1.35294608e+11 -5.86483229e+10],[ 4459536.07276513 -2438025.73564312 -4516584.77833178],[-3.60936422e+10 -1.35297046e+11 -5.86528395e+10],-41.69240039536715,-129.00801528408581,430617.51439996425
1560.0,4781018.0234488,-2179941.856652629,-4314670.3410370685,False,[-3.60963953e+10 -1.35295004e+11 -5.86484948e+10],[ 4781018.0234488  -2179941.85665263 -4314670.34103707],[-3.60916143e+10 -1.35297184e+11 -5.86528094e+10],-39.45014871551639,-125.11538421278748,429474.927972141
1620.0,5080711.305578353,-1911923.3443726404,-4093036.3351257634,True,[-3.60946890e+10 -1.35295401e+11 -5.86486667e+10],[ 5080711.30557835 -1911923.34437264 -4093036.33512576],[-3.60896083e+10 -1.35297313e+11 -5.86527597e+10],-37.068432910130255,-121.48668362546923,428271.4580474866
1680.0,5357239.954948024,-1635187.8281115436,-3852687.545519268,True,[-3.60929826e+10 -1.35295797e+11 -5.86488385e+10],[ 5357239.95494802 -1635187.82811154 -3852687.54551927],[-3.60876254e+10 -1.35297433e+11 -5.86526912e+10],-34.566271877180874,-118.09771258627784,427022.5496463498
1740.0,5609332.036509209,-1350993.6347183955,-3594714.9385319124,True,[-3.60912762e+10 -1.35296194e+11 -5.86490104e+10],[ 5609332.03650921 -1350993.6347184  -3594714.93853191],[-3.60856669e+10 -1.35297545e+11 -5.86526051e+10],-31.960464836265622,-114.92347270882286,425744.13166641525
1800.0,5835825.661039431,-1060634.200548772,-3320290.9306964083,True,[-3.60895698e+10 -1.35296590e+11 -5.86491823e+10],[ 5835825.66103943 -1060634.20054877 -3320290.93069641],[-3.60837340e+10 -1.35297651e+11 -5.86525026e+10],-29.26576937071466,-111.93932618590591,424452.3600079718
1860.0,6035674.546078315,-765432.2886317029,-3030664.258773311,True,[-3.60878635e+10 -1.35296987e+11 -5.86493541e+10],[ 6035674.54607832  -765432.2886317  -3030664.25877331],[-3.60818278e+10 -1.35297752e+11 -5.86523848e+10],-26.49512990071775,-109.12168265225846,423163.3561979696
1920.0,6207953.0871582255,-466734.034017562,-2727154.4673067457,True,[-3.60861571e+10 -1.35297383e+11 -5.86495260e+10],[ 6207953.08715823  -466734.03401756 -2727154.46730675],[-3.60799491e+10 -1.35297850e+11 -5.86522531e+10],-23.659921019177684,-106.44834871503589,421892.94608747866
1980.0,6351860.906430817,-165902.84238176158,-2411146.033041918,True,[-3.60844507e+10 -1.35297780e+11 -5.86496978e+10],[ 6351860.90643082  -165902.84238176 -2411146.03304192],[-3.60780988e+10 -1.35297945e+11 -5.86521090e+10],-20.770184760474113,-103.89864905590186,420656.4033165885
2040.0,6466726.847341474,135686.83097840994,-2084082.1486016568,True,[-3.60827443e+10 -1.35298176e+11 -5.86498697e+10],[ 6466726.84734147   135686.83097841 -2084082.14860166],[-3.60762776e+10 -1.35298040e+11 -5.86519538e+10],-17.83485095559603,-101.4534004748759,419468.202270605
2100.0,6552012.386077651,436655.7926226886,-1747458.1909737894,True,[-3.60810379e+10 -1.35298572e+11 -5.86500415e+10],[ 6552012.38607765   436655.79262269 -1747458.19097379],[-3.60744859e+10 -1.35298136e+11 -5.86517890e+10],-14.861936301011074,-99.09479610350367,418341.785181726
2160.0,6607314.433168276,735626.4820712159,-1402814.9033896225,True,[-3.60793315e+10 -1.35298969e+11 -5.86502133e+10],[ 6607314.43316828   735626.48207122 -1402814.90338962],[-3.60727242e+10 -1.35298233e+11 -5.86516161e+10],-11.858721670477816,-96.8062380858409,417289.3478554869
2220.0,6632367.501728791,1031229.3700816361,-1051731.322212724,True,[-3.60776251e+10 -1.35299365e+11 -5.86503851e+10],[ 6632367.50172879  1031229.37008164 -1051731.32221272],[-3.60709927e+10 -1.35298334e+11 -5.86514369e+10],-8.83190940026195,-94.57214315193573,416321.64821818314
2280.0,6627045.22250145,1322109.3504324344,-695817.4831908139,True,[-3.60759186e+10 -1.35299761e+11 -5.86505569e+10],[6627045.22250145 1322109.35043243 -695817.48319081],[-3.60692916e+10 -1.35298439e+11 -5.86512528e+10],-5.787763418759696,-92.37773579541381,415447.8414908766
2340.0,6591361.189900264,1606932.0906248586,-336706.9439622485,True,[-3.60742122e+10 -1.35300158e+11 -5.86507287e+10],[6591361.18990026 1606932.09062486 -336706.94396225],[-3.60676208e+10 -1.35298551e+11 -5.86510654e+10],-2.7322356127234717,-90.20883720549054,414675.34530293045
2400.0,6525469.127725545,1884390.306325048,23950.838038046142,True,[-3.60725058e+10 -1.35300554e+11 -5.86509005e+10],[6525469.12772555 1884390.30632505   23950.83803805],[-3.60659803e+10 -1.35298669e+11 -5.86508766e+10],0.32891799042897146,-88.05165381861597,414009.7374728558
2460.0,6429662.367959759,2153209.9243086297,384498.231420422,True,[-3.60707993e+10 -1.35300950e+11 -5.86510723e+10],[6429662.36795976 2153209.92430863  384498.23142042],[-3.60643697e+10 -1.35298797e+11 -5.86506878e+10],3.390027615251839,-85.89256667810456,413454.6885194809
2520.0,6304372.641014998,2412156.0988708576,743277.2180881548,True,[-3.60690929e+10 -1.35301346e+11 -5.86512441e+10],[6304372.641015   2412156.09887086  743277.21808815],[-3.60627885e+10 -1.35298934e+11 -5.86505008e+10],6.445403116501649,-83.71792126272194,413011.93024055404
2580.0,6150168.180877865,2660039.047416658,1098637.19871585,True,[-3.60673865e+10 -1.35301742e+11 -5.86514158e+10],[6150168.18087787 2660039.04741666 1098637.19871585],[-3.60612363e+10 -1.35299082e+11 -5.86503172e+10],9.489226768254358,-81.5138167848588,412681.2609278492
2640.0,5967751.153690162,2895719.672044411,1448942.7728423767,True,[-3.60656800e+10 -1.35302139e+11 -5.86515876e+10],[5967751.15369016 2895719.67204441 1448942.77284238],[-3.60597123e+10 -1.35299243e+11 -5.86501386e+10],12.51544187240405,-79.26589404410727,412460.58700101054
