60,2023-06-04 05:07:00+00:00
timestep=60,x_sat,y_sat,z_sat,sat_in_sun,earth_sun,sat_pos,sun_sat_pos
0.0,2810877.4878759445,-3183363.2262911187,-5311838.38472825,False,[-4.42825369e+10 -1.33164653e+11 -5.77251063e+10],[ 2810877.48787594 -3183363.22629112 -5311838.38472825],[-4.42797260e+10 -1.33167837e+11 -5.77304182e+10]
60.0,3174164.701954365,-2906997.323478929,-5265149.63282185,False,[-4.42808571e+10 -1.33165138e+11 -5.77253164e+10],[ 3174164.70195436 -2906997.32347893 -5265149.63282185],[-4.42776830e+10 -1.33168045e+11 -5.77305815e+10]
120.0,3523016.5557946567,-2617411.031352019,-5194447.389377478,False,[-4.42791774e+10 -1.33165622e+11 -5.77255264e+10],[ 3523016.55579466 -2617411.03135202 -5194447.38937748],[-4.42756544e+10 -1.33168240e+11 -5.77307209e+10]
