300,2023-06-07 13:15:00+00:00
timestep=300,x_sat,y_sat,z_sat,sat_in_sun,earth_sun,sat_pos,sun_sat_pos,lat,lon,height
3300.0,-36044487494.82499,-135302073199.34566,-58648937830.89082,True,[-3.60469087e+10 -1.35306496e+11 -5.86534764e+10],[2421252.71085073 4422411.12143867 4538542.60336429],[-3.60444875e+10 -1.35302073e+11 -5.86489378e+10],42.2360237296254,-46.51834941746334,415180.7077425133
3600.0,-36038144802.91713,-135304130380.40828,-58649131508.11244,True,[-3.60383762e+10 -1.35308475e+11 -5.86543346e+10],[ 231350.88548932 4344912.83171791 5203086.58737271],[-3.60381448e+10 -1.35304130e+11 -5.86491315e+10],50.282041727670745,-22.066307867544765,417091.894938677
3900.0,-36031828279.24887,-135306680521.31628,-58649917533.783005,True,[-3.60298434e+10 -1.35310455e+11 -5.86551926e+10],[-1984843.99233395  3773995.21627048  5275083.26731173],[-3.60318283e+10 -1.35306681e+11 -5.86499175e+10],51.16728512689466,7.457198969583376,417803.1005115168
4200.0,-36025286298.83098,-135309658670.45854,-58651303945.576385,True,[-3.60213106e+10 -1.35312433e+11 -5.86560504e+10],[-3975706.90649815  2774609.87872965  4746494.96604048],[-3.60252863e+10 -1.35309659e+11 -5.86513039e+10],44.46820159227358,33.483090337971575,417144.3353388589
4500.0,-36018292825.52817,-135312951365.54932,-58653230563.55752,True,[-3.60127776e+10 -1.35314412e+11 -5.86569081e+10],[-5515201.69488868  1460219.09708615  3677501.61528462],[-3.60182928e+10 -1.35312951e+11 -5.86532306e+10],32.84486553930869,52.259657863386046,415879.7649378298
4800.0,-36010673031.01871,-135316409395.63437,-58655575710.73518,True,[-3.60042445e+10 -1.35316389e+11 -5.86577655e+10],[-6428500.0088548    -19966.18189703  2189780.20297807],[-3.60106730e+10 -1.35316409e+11 -5.86555757e+10],18.791074206738944,65.99181265950115,415321.33779595327
5100.0,-36002323380.09968,-135319864712.44815,-58658169950.111084,False,[-3.59957113e+10 -1.35318367e+11 -5.86586227e+10],[-6612066.61861932 -1497897.70039639   452767.72410739],[-3.60023234e+10 -1.35319865e+11 -5.86581700e+10],3.7174474210874067,77.32257785841696,416664.91517325176
5400.0,-35993223642.1692,-135323149704.40746,-58660815526.142654,False,[-3.59871780e+10 -1.35320344e+11 -5.86594797e+10],[-6045670.89544157 -2805963.88273365 -1335780.28207769],[-3.59932236e+10 -1.35323150e+11 -5.86608155e+10],-11.521285233205166,88.21458779776022,420347.3257896172
5700.0,-35983439065.35777,-135326116495.98824,-58663309251.225006,False,[-3.59786445e+10 -1.35322320e+11 -5.86603366e+10],[-4794560.94291866 -3796289.21249833 -2972676.21397146],[-3.59834391e+10 -1.35326116e+11 -5.86633093e+10],-26.16876029819499,100.463545932173,425733.09446200635
6000.0,-35973112373.597496,-135328653764.85063,-58665465878.08062,False,[-3.59701109e+10 -1.35324296e+11 -5.86611932e+10],[-3001460.66627862 -4357551.35748462 -4272672.79740609],[-3.59731124e+10 -1.35328654e+11 -5.86654659e+10],-39.17204882203102,116.3263255125099,431291.9371329868
6300.0,-35962446884.76005,-135330698995.56087,-58667138955.110794,False,[-3.59615772e+10 -1.35326272e+11 -5.86620496e+10],[ -869687.91030722 -4427234.89147524 -5089318.43694307],[-3.59624469e+10 -1.35330699e+11 -5.86671390e+10],-48.64711581296008,138.5756257674326,435189.075343255
6600.0,-35951683247.76619,-135332244960.38072,-58668236810.7761,False,[-3.59530434e+10 -1.35328247e+11 -5.86629059e+10],[ 1360108.43111624 -3998112.08390058 -5330941.59648596],[-3.59516832e+10 -1.35332245e+11 -5.86682368e+10],-51.74901097532034,167.23574284446133,436020.4966810982
6900.0,-35941072701.53965,-135333340120.05307,-58668732278.673485,False,[-3.59445094e+10 -1.35330221e+11 -5.86637619e+10],[ 3436689.46114485 -3118643.68527274 -4970375.87628819],[-3.59410727e+10 -1.35333340e+11 -5.86687323e+10],-47.04906058390026,-165.08864068662504,433380.6943697663
7200.0,-35930849561.14756,-135334083230.28194,-58668665575.43773,True,[-3.59359753e+10 -1.35332196e+11 -5.86646177e+10],[ 5125740.13952936 -1887585.40716247 -4047837.91443498],[-3.59308496e+10 -1.35334083e+11 -5.86686656e+10],-36.592076914954994,-144.3962869478443,428039.28967967053
7500.0,-35921205358.447014,-135334612715.20692,-58668140181.92731,True,[-3.59274411e+10 -1.35334169e+11 -5.86654734e+10],[ 6235728.63609417  -443361.39685377 -2666808.57272031],[-3.59212054e+10 -1.35334613e+11 -5.86681402e+10],-23.103555704736387,-129.5296580866683,421658.27460199915
7800.0,-35912267061.95325,-135335091607.81679,-58667311873.99904,True,[-3.59189067e+10 -1.35336143e+11 -5.86663288e+10],[6639686.46246396 1050995.34934665 -983063.71126862],[-3.59122671e+10 -1.35335092e+11 -5.86673119e+10],-8.242844030423072,-117.72877293901024,416152.36885269923
8100.0,-35904081929.70455,-135335689326.82196,-58666371585.69701,True,[-3.59103723e+10 -1.35338115e+11 -5.86671840e+10],[6290355.60726053 2426066.11329038  812462.62254128],[-3.59040819e+10 -1.35335689e+11 -5.86663716e+10],7.0366204448387055,-106.87809620750154,412944.6918954072
8400.0,-35896611300.65256,-135336562230.22392,-58665523700.2152,True,[-3.59018377e+10 -1.35340088e+11 -5.86680391e+10],[5226397.14576613 3525492.886008   2515387.23137095],[-3.58966113e+10 -1.35336562e+11 -5.86655237e+10],21.98513593083242,-95.19738455018259,412438.53781636606
8700.0,-35889734620.44451,-135337835411.93312,-58664962354.119705,True,[-3.58933030e+10 -1.35342060e+11 -5.86688939e+10],[3568365.45762225 4224181.74933605 3931573.54587292],[-3.58897346e+10 -1.35337835e+11 -5.86649624e+10],35.668548464064294,-80.60073334889769,413947.332791381
9000.0,-35883263371.12544,-135339588202.12602,-58664848888.31113,True,[-3.58847681e+10 -1.35344031e+11 -5.86697486e+10],[1504778.52467745 4442802.51918901 4899680.66207893],[-3.58832634e+10 -1.35339588e+11 -5.86648489e+10],46.47156863408025,-60.31809644007652,416108.50957113475
9300.0,-35876962952.04918,-135341845201.95396,-58665293365.070274,True,[-3.58762332e+10 -1.35346002e+11 -5.86706030e+10],[-729762.97995431 4156754.03671267 5309646.29591117],[-3.58769630e+10 -1.35341845e+11 -5.86652934e+10],51.67578088031696,-32.86983255504815,417572.1789997207
9600.0,-35870579563.838196,-135344573722.76672,-58666342235.68042,True,[-3.58676981e+10 -1.35347972e+11 -5.86714573e+10],[-2881459.65187123  3398724.94435095  5115019.16074604],[-3.58705796e+10 -1.35344574e+11 -5.86663422e+10],49.03654755218549,-3.835536896014184,417639.6229170149
9900.0,-35863868926.57002,-135347687638.83792,-58667973258.00444,True,[-3.58591629e+10 -1.35349942e+11 -5.86723113e+10],[-4706031.54167865  2254840.96100544  4338041.39042974],[-3.58638689e+10 -1.35347688e+11 -5.86679733e+10],39.79849801561497,18.951979776825397,416572.1414885289
10200.0,-35856623852.49306,-135351057103.71753,-58670098008.025375,True,[-3.58506276e+10 -1.35351912e+11 -5.86731651e+10],[-5996290.87088085   854948.5290161   3067136.99855869],[-3.58566239e+10 -1.35351057e+11 -5.86700980e+10],26.874435173996506,35.14736699625549,415444.3173300633
10500.0,-35848697855.27495,-135354523182.13255,-58672571783.62822,True,[-3.58420921e+10 -1.35353881e+11 -5.86740188e+10],[-6605751.28019947  -642017.08623402  1447008.09688075],[-3.58486979e+10 -1.35354523e+11 -5.86725718e+10],12.245135157016193,47.5472300672218,415605.6307667601
10800.0,-35840022078.097336,-135357915961.49817,-58675210062.14594,False,[-3.58335565e+10 -1.35355850e+11 -5.86748722e+10],[-6465555.92436274 -2066143.30753004  -337822.65093395],[-3.58400221e+10 -1.35357916e+11 -5.86752101e+10],-2.9918252852727267,58.46879104265059,417984.78095994284
11100.0,-35830613243.487595,-135361074104.60236,-58677809784.99244,False,[-3.58250208e+10 -1.35357818e+11 -5.86757255e+10],[-5592427.30382926 -3256092.93049284 -2084296.66206215],[-3.58306132e+10 -1.35361074e+11 -5.86778098e+10],-18.07177557930234,69.72150592200404,422558.6216598112
11400.0,-35820571407.20481,-135363863371.05031,-58680172842.82949,False,[-3.58164850e+10 -1.35359786e+11 -5.86765785e+10],[-4086421.15078221 -4077625.56789045 -3594304.60163373],[-3.58205714e+10 -1.35363863e+11 -5.86801728e+10],-32.162302797070474,83.23273127293841,428247.90918260685
11700.0,-35810067895.05733,-135366191710.99724,-58682128688.60918,False,[-3.58079490e+10 -1.35361753e+11 -5.86774314e+10],[-2118863.24662511 -4438691.38260229 -4697299.42501515],[-3.58100679e+10 -1.35366192e+11 -5.86821287e+10],-43.9194179371395,101.57770758932901,433299.53328513424
12000.0,-35799325324.800224,-135368019188.6601,-58683553289.69376,False,[-3.5799413e+10 -1.3536372e+11 -5.8678284e+10],[   87628.68047948 -4299354.59924817 -5269248.49780825],[-3.57993253e+10 -1.35368019e+11 -5.86835533e+10],-50.95720511589467,127.05752959650032,435979.8344424179
12300.0,-35788592483.613396,-135369361928.7833,-58684382480.74663,False,[-3.57908768e+10 -1.35365686e+11 -5.86791365e+10],[ 2284267.47755394 -3675739.96975397 -5245986.48670413],[-3.57885925e+10 -1.35369362e+11 -5.86843825e+10],-50.588727995306606,156.4705933643979,435272.0123655488
12600.0,-35778116923.34912,-135370290070.77122,-58684618722.433846,False,[-3.57823404e+10 -1.35367652e+11 -5.86799887e+10],[ 4223501.31925137 -2637986.90620034 -4629974.06108772],[-3.57781169e+10 -1.35370290e+11 -5.86846187e+10],-42.98681563814696,-178.69944544974626,431291.4449431494
12900.0,-35768117838.75946,-135370920149.54718,-58684330910.75159,True,[-3.57738040e+10 -1.35369618e+11 -5.86808408e+10],[ 5686135.48043001 -1302630.33948475 -3490107.2204703 ],[-3.57681178e+10 -1.35370920e+11 -5.86843309e+10],-30.924807816661342,-160.91393750556733,425259.0712153439
13200.0,-35758761620.35864,-135371402540.40752,-58683647211.4139,True,[-3.57652674e+10 -1.35371582e+11 -5.86816927e+10],[ 6505779.47380744   179954.4264022  -1954551.68218362],[-3.57587616e+10 -1.35371403e+11 -5.86836472e+10],-16.685582149833763,-147.69852756711782,419039.61975520203
13500.0,-35750142578.38618,-135371904924.58968,-58682741253.86309,True,[-3.57567307e+10 -1.35373547e+11 -5.86825443e+10],[6588123.08679277 1642086.14636674 -196936.8918861 ],[-3.57501426e+10 -1.35371905e+11 -5.86827413e+10],-1.5451296703598645,-136.54088024341206,414418.2191041492
13800.0,-35742271369.14244,-135372593315.53548,-58681812729.98971,True,[-3.57481939e+10 -1.35375511e+11 -5.86833958e+10],[5922510.04595012 2917751.37101957 1583045.25657843],[-3.57422714e+10 -1.35372593e+11 -5.86818127e+10],13.68318402891276,-125.54844592973816,412412.2150732031
14100.0,-35735073097.72358,-135373612849.72516,-58681064447.74167,True,[-3.57396569e+10 -1.35377475e+11 -5.86842470e+10],[4583835.28206296 3861813.6124569  3182586.81196071],[-3.57350731e+10 -1.35373613e+11 -5.86810644e+10],28.217894885945118,-112.88529921877272,412924.6942062064
14400.0,-35728395739.851616,-135375070882.72092,-58680678747.70456,True,[-3.57311199e+10 -1.35379438e+11 -5.86850981e+10],[2724123.10006234 4366917.30091851 4419347.18534787],[-3.57283957e+10 -1.35375071e+11 -5.86806787e+10],40.89921766605829,-96.15867371917338,414898.8125943526
14700.0,-35722027809.53653,-135377024647.60918,-58680796418.578186,True,[-3.57225827e+10 -1.35381400e+11 -5.86859490e+10],[ 554859.51689762 4375829.3422649  5152537.67362539],[-3.57220278e+10 -1.35377025e+11 -5.86807964e+10],49.630685891568056,-72.62627367811457,416888.6012575958
15000.0,-35715722791.3674,-135379474912.97398,-58681500716.632,True,[-3.57140454e+10 -1.35383363e+11 -5.86867996e+10],[-1677440.02957759  3887781.14490248  5298902.00400157],[-3.57157228e+10 -1.35379475e+11 -5.86815007e+10],51.498677007550505,-43.31509945713543,417766.2873373444
15300.0,-35709227212.99802,-135382366117.74962,-58682808130.41257,True,[-3.57055079e+10 -1.35385324e+11 -5.86876501e+10],[-3719303.16618058  2958333.7668152   4841951.62662077],[-3.57092272e+10 -1.35382366e+11 -5.86828081e+10],45.61523413136374,-16.471888679054,417243.027016876
